vehicle_id,customer_id,model_id,license_plate,vin
46,179,2,07QS1,G35K178D0260H9325
47,126,6,2LL 893,Z571DCJA9ZXPB8013
48,146,3,12-V566,DZET8L8W2PJ361827
49,225,9,6479 PD,KVETJUC55Y7SV7520
50,155,10,VVC 126,S7A5PCMC2UYHH9613
51,271,1,6-57967,ZH0W78GY7745Y7320
52,284,5,269A5,0K75YWCJ9M23U7784
53,54,3,M67 7OK,33BKAYU93YXXA4671
54,136,2,969-BMIP,NJL4239P5R7UN5905
55,55,12,033 NL3,K65K8MA28UZTH8507
56,284,3,056 WPS,RL7Y7DMY1KPUC8529
57,140,5,UZC-8344,4KSE67MHXUDN51987
58,108,12,JQZ 468,LCTSGZWB3YDWH0829
59,176,4,R69 0ZT,CPW0F0KUXTHJA6513
60,136,9,VT 36312,C2FKWYUU492GH0324
61,251,5,07RF0,46LK5TP61Z8GY6231
62,27,2,391559,RFUD07BDX4YP84764
63,217,5,342 RNP,PXPK234F2P8FV4864
64,23,1,413-AMI,KDAVLT3H8MU7A1776
65,171,3,IQC-5698,LW24BV91068AF6345
66,135,3,WYU 296,LVX9GBLJ7BSRE3165
67,227,9,931 ARU,WCGA4SUG881UW2152
68,219,9,133P3,HJYR9UDD9T02J4362
69,5,2,HT7 3597,61X9LSDR1744M6941
70,39,12,9P 9004L,ZRKSP93B3MW964287
71,77,9,241 WQN,L39YHPUJ4LUAL4948
72,19,6,PYE-8703,04EB3XGAX3VNY7617
73,299,9,12P•151,DJBAZHD115FY78926
74,76,7,1AJ6591,L026WXWH1VL9D9050
75,66,1,501ZUJ,R6SGBFS63SJ080326
76,158,6,492 PZN,N7PZCYVR1U6UP7499
77,21,6,61F NU0,ZMWE0Y6J2K09K7617
78,108,11,64Q 9081,3Z7ZUT7W66Z289454
79,128,11,VOF-2601,TKLWVGMB6G7U23219
80,53,6,0MD2776,YKPSK6997C2DX0310
81,287,7,EUH 683,6KW0XU287X2VF2277
82,80,4,J 960501,UTYJ3YSY7E42U8997
83,84,3,146 7KR,8YNVU2AJ6EZEM3757
84,212,1,72W V46,TPXADJ6X9Y7TY2232
85,92,12,005 HGR,GNABZ35M68EYG6193
86,171,7,0ZLY 84,0Z74VW8783Z7A9918
87,128,5,DGL-2478,Y70PM98C7XMJZ7603
88,82,12,ZCI 565,F0TE9UTT9V0157850
89,56,7,260-KKM,S304JTSK20SVD5504
90,20,8,756 TZT,CK63MR9J2KMA23188
91,114,4,8943,KUZ84PGZ7VK1W5101
92,236,6,9HZX 98,ENKJ9RF73PW705893
93,157,4,106-NNC,9XDV5PSS9VYTA4976
94,115,1,QE 7728,8DWX3AP89PJ309611
95,99,7,L44 7JL,200T4KJD6N53T2701
96,169,5,756-SJS,X99ZWVV03TRES5199
97,36,5,7RBV 41,A2K86C4C9B2HD7801
98,180,11,97W 1895,S3Y2MUBT7G6870856
99,261,7,241 FJE,0KTA4LB21L0TL0461
100,275,6,MD0 3399,FYZZR8H425X2T5786
101,15,2,H89 1AI,F9KTV6ZD2FUV32582
102,134,3,4OT2007,HGRNDZJ34K6S82891
103,298,5,XRI6398,LMGVHFLM5291X3795
104,20,2,2AV6876,652V8NRN7WPCV6201
105,223,6,04HX531,KEEYP3HY3S8HZ9303
106,161,7,FRG-9992,5959GEHC8W1U40894
107,262,2,4187 NN,YP3E4HTV0M62E5063
108,198,10,NCH 325,K572XU2M0FM4M4317
109,98,5,ZHC 997,7V8643RL54KU51207
110,23,12,VBR B46,S7TE1WRW3M2WM6991
111,224,1,0GD D91,C9ZGNTXV349KU2320
112,267,9,498 UYL,00XKMJP13FZ4U8920
113,101,6,3GG 153,XWMMKTMA1E1EE1707
114,221,2,933 7563,SB1P15N26VCP38124
115,170,10,3342,EGBMFBC2X9R8M2410
116,161,11,7J 35528,U5809CCR5F3CJ5596
117,64,12,KHB 428,YD6X5AZR7WBLP8578
118,154,9,WPW 7749,S3DECVFS4APG63466
119,159,11,YCJ7853,3WZMUVWU1HR2B6575
120,210,6,41-H514,ZZ6HE7858MCMG5083
121,207,12,439 XYV,9G1KJNSS20SEE9078
122,152,9,7XG 389,WWM6LCUT12P993778
123,66,4,553 XAP,TUSKL2398SRDS2599
124,216,11,715-RMG,VK6A7B3Y7RJDE0231
125,195,11,VQC 705,1ALTSA891RD9D8671
126,90,10,729 NWV,KCZWHC10XFMYW7169
127,292,5,901 4754,SBTFBUWR63FAH2916
128,208,9,RJV-1376,8P57ZLTV93W252438
129,1,5,W76 5VX,SCS31G89856FV5777
130,147,4,PIF2091,BJ8SA51H5D3DV2752
131,221,10,BUZ-8164,V414RCFP6T21M3310
132,165,8,MVV 131,AA3TZ7LLXSU8E8393
133,227,8,5D L2065,1RDWE5HP1KY7A0136
134,110,9,DT 56252,LX5M2VRZ6E28K3890
135,243,12,3X 9102N,PYJC0RD329HL33975
136,87,11,ZNU 403,MMFD4FER315Y58527
137,44,5,MBU 232,6BDFZ6UW2UBFK4233
138,264,11,347SOU,6PSRAXVU9X2RU8962
139,172,2,828-YJT,BGRWKWJR2M9XC8971
140,121,11,GAA 857,STSPRYK55ACUG6016
141,159,4,58-75066,FFX3P20G4FA189724
142,102,3,16-69183,UAUGKZRKXN0HD6119
143,13,1,027-MWJ,175TTJUA4CYBZ2522
144,126,8,230 OSG,BCGTV7A68H5M24161
145,38,8,7HP 100,H137D1RH5UMPM7759
146,213,11,669 HLV,4NM71WS91HFPV0918
147,295,4,V78-63V,1L2P3LVE16NUX9769
148,197,8,64WD9,C0Z39Y6K68XFF8727
149,205,4,1F Y1602,LRHEGX892E5MR8715
150,76,11,686-XXX,EEG8J6869P9LR5931
151,3,2,409 8XA,CRULP9E78L0JE6087
152,218,4,VOE-9420,LKZ8HXDY00DE44605
153,91,12,2F-PXMJ,2SMUXNSS3CS791844
154,266,8,9047 YZ,A9VXJ0DD170RU3059
155,26,9,015F7,B48ZMU0S9SYKB3013
156,128,2,XMY 176,HVP188688XH7B7830
157,234,3,649-PUW,97L5BS2S258D88887
158,238,11,LTW 208,VL839DA688ZKP8401
159,272,9,034 FNV,3JV9YLNZ53C0K3103
160,163,8,8E T3954,9U5GGRAS20D5H7146
161,259,7,W59 8UG,AT0LUR2F58T5M1418
162,281,8,C42 3LK,H17RER781Y7NJ2849
163,82,12,ITD-0256,BNSX9G1ZXH4PF2226
164,244,8,672T7,NWZJHUEK8665F1465
165,133,4,290148,Y1UZ9XYZ7C1UN8160
166,142,9,89X 0972,EB5P9ZN48P8MF6762
167,249,11,474 YDJ,GD1SDKZ37N1WM7970
168,123,5,526 LDA,N17UYC6Z610GE2617
169,226,2,M62-LJL,H7VVA9NU5CJ390531
170,147,4,NXK 023,XH8TYY9L987296862
171,140,6,LQA 305,U1UXJJY61ZBFH6392
172,164,9,14-36371,ZBC0E89S5U2C60432
173,42,3,433MNQ,MUX4ZU4K8NTFL1454
174,78,4,053FBA,JXH7UBGY0719M5541
175,197,12,59X Z89,PFHDR6792CCV79109
176,79,12,RTK-473,039CTGNP6XTZ27161
177,110,2,ZTI 240,4CSYZ5AV1SHDB8686
178,213,7,3FS9087,ZGKEJH8A8J30H3083
179,170,9,IZB3381,1NPL6G9T51NEH9450
180,239,7,KIA 891,RGDVELHD8EUP09627
181,32,4,722-CPF,CYBJ2KAB605UF6931
182,216,7,61U•820,7RR28139X117M3142
183,300,12,CGE7972,KMX0F4H89J7ZT0018
184,11,10,AH 0366,0NJER8YA0N5M81314
185,195,8,92C B26,MBU0KJN7X51004754
186,4,6,711 EMO,UH06L9BR3XTM95576
187,153,7,HMN 878,YER6TE6F7PX985030
188,215,9,2LLY472,TFDE49805475X6065
189,280,10,02F 521,F51T0BX97MV1J8476
190,113,8,092 EBU,ZA1SUWGZ7H6R94362
191,113,5,036-GMT,B5WXLSRA1H7750563
192,224,8,50T Y34,A75D1KCCX3X340341
193,15,7,546 CJA,ZCLSN97M602RX6818
194,173,11,2BJ F71,6ED0AZMV0U3RF2545
195,208,12,9T 12971,10K6Y7WL4HPN62421
196,85,8,FWY-747,GV98Y3PJ0VPZL6692
197,66,10,874 CVN,34F107JR5ERW62961
198,274,1,8OO 711,B7SUCSM54DX8H5597
199,202,10,82B•723,L3R4PUXD8HGB60306
200,289,11,CI 6147,TDGB46UM8TXXA4235
201,14,2,NLW-9608,C50LL10W5TG1V2751
202,220,3,910 3UO,CTARDNDC72KKZ9055
203,237,3,W76 6PU,NNUM8BWU9AURJ5289
204,26,5,64WV9,76762T7YXZ3JT9817
205,195,6,7H Y8613,X8NWTS1P3GKTF3844
206,109,8,0NB0258,LMAUFSCS2RBSL0962
207,168,6,FNH 128,8SGALD661026R0609
208,195,5,2752,FEKCFRG4078W84120
209,216,5,EJI F11,YPDS7Y2T7TRLV1713
210,42,8,HFJ 029,38MNX1AG52Z0D1390
211,10,12,05D G23,69HHXC6N1UZSC8477
212,277,1,FG 46199,KADYUVUH1RUCN5919
213,180,4,208 UCO,GTJNS28B2F5DP5625
214,36,11,105 EYK,1MDWLE5R3D7H54938
215,21,1,655 3UN,C4YY3HT8XLRF21729
216,127,4,907AUZ,J9S33M25XHLNS7164
217,11,10,790-RYK,SKWY8P7257LUE3002
218,79,4,ZCG 580,4G384K5G4A9W85964
219,65,8,967 1KE,FXYHLXE64FD554415
220,59,10,BGA-3763,Y7MDZLKW3EPRV2812
221,112,8,Q63-14G,UAK70W789H2XV3072
222,132,6,815 ID6,D0SZUZM464RUC7451
223,86,10,GMF 948,YU74F8E81F57H0094
224,59,3,6T WW661,EHYDADNJ7BZXK9401
225,160,2,HFK 122,MW01XUM291NX12412
226,297,1,HPD-009,JEZA077K8GYGP5775
227,160,10,54A•589,X8H20TE08UPD65703
228,193,7,MMU 148,VBGNMSTH3M8UW4309
229,102,2,541-072,W0JAKYJ50DJ844070
230,125,2,JAN-500,G9NJZ06H46JE32369
231,155,11,L66-HZV,S7GKKBUL39TCK9234
232,62,10,782 CJS,RU79VLZN3TTW27567
233,22,6,AYN-129,KFZP9J4S7W4642607
234,273,7,159U,7JXM48Z49Y9E03828
235,190,2,079 UJX,C851087F5ZVS43170
236,260,11,J23 8MP,GV8U02B07CXXJ3288
237,175,1,VDS 754,SR7WTU020R1K34719
238,216,8,U70 5VT,9WWH1ANZ8RZ5B8358
239,55,7,ELU 957,9HKS5XRX0G9LN9298
240,186,11,1TM 002,E77YXLEF054G81266
241,236,12,XCO5902,L7VR9CCG2CAUC7743
242,79,7,901302,1PT5MBYC5NN953978
243,91,12,61-N912,K78YE4M23N5AJ3446
244,268,11,RSH-898,KS48XG233M49D5643
245,139,10,XKY-0371,3N5T6X9H5ZENU0107
246,276,8,000-JZH,CR2X4RR958V8P6682
247,239,7,603 GK3,61ET31F44BJ3L1027
248,138,6,3TU 429,SX855GDYXPJFH5374
249,126,2,105 WRQ,TYH6D9EK703FV8315
250,143,8,YOD 070,HHRK64HR2V3ED7066
251,125,8,8FV N04,3N2MGD2M07RJW9660
252,292,10,SXS 842,RWF91HH62S3HP3845
253,195,6,490V,8KLGBVW24NXDT7070
254,15,8,9SCI851,VBGHGY9E3E83B2290
255,167,3,7Q950,E4GG2N3F0V8Z55118
256,250,4,9G 5616K,J02LPMTP2AP3J7490
257,182,5,SAD 935,ZZNDR30R2ZT841139
258,175,5,88P V75,HCJFMFPE8VTP67513
259,142,9,157 RQ9,EVTE9FT97L86T9445
260,6,9,29-7327Q,1A8TGX79959ZR0602
261,98,2,LEM 834,8MM735NV8X9BZ6764
262,124,12,957-EAS,RLVBZH7E7ZUJL4750
263,209,8,203-KYF,UHL7NJA81EAJG4477
264,285,4,34Y D21,DZA23C1Y8UV9W0534
265,244,11,DWW 176,YG69H8N62ZMHW3152
266,252,8,XQV-1506,7LC31F9R10YBY3347
267,9,2,183EGU,1U5YDB3T4FNXB4969
268,151,4,776 HJV,NXJ7E8JT18BWL7536
269,208,12,62DL7,YTF2JHZD5GLTS6085
270,125,5,64-N047,EM3KVTEA0M9228319
271,298,6,5CY W58,54DPCASE4TDF14255
272,243,9,AYQ1867,3AJK2EF399H654166
273,272,6,QXW-600,07SCKLUZ0C7GX0447
274,218,12,3JN C68,HXJZFR2Y2VE2S6581
275,282,6,37-57914,M067ADYF5XE4Y1269
276,181,12,NJ 52059,T1HDYYLF667U55778
277,233,5,2EY A81,ACV83UYA9TS1J8728
278,157,5,N48 5JX,PA0JDPGX4AX1L7352
279,119,2,27-1043F,C7WM74WA5N1CH1583
280,99,6,459NSX,SGC507DH69RMH2491
281,62,12,TVP-3203,D600AX1L5VUXL1028
282,275,12,386 QYD,RRXNKL6D4VYG82426
283,95,4,NUL-205,WNUDCRPB8C1KM0375
284,111,12,LI-8094,3HXS3GH46WYBX9079
285,248,5,105-UYR,20B96T847HC2M7051
286,269,10,295K8,1ST45CZ093HCZ4127
287,145,2,0-44851F,MW6W686B42A1D1259
288,100,5,L34 3OC,9K4RJBH90CHCB9563
289,117,6,IWO 417,NPNVA3R03NJDM8936
290,92,5,QRX-4183,GDWG38BX8PR3L2795
291,8,12,DUL-0267,MM7BNKAW8WUSX8207
292,274,3,59I 5764,3EZ7TUHS1AKC99028
293,141,1,014 2VK,NWSAW10C6BFDU2441
294,28,9,328507,AN7XSDXR29L9S7316
295,150,12,54-69681,NY2EBFPP3S5E95809
296,65,11,GBG-4615,RBU0JKRX4AS7W0462
297,252,2,160-LVX,AL9ZRW1Y9UG8V6604
298,7,10,585-LYPW,8BUR601M9WU4W9438
299,146,8,750BDP,PGUMJ2HB2VLK34560
300,246,8,50D 863,B6790YUH1W35L5793
301,175,3,168 BET,6MKUS2BG5GKZF1613
302,27,5,ZBL 973,UHBHZ3SBXD2T94406
303,245,2,951IO,EE2LE5JW0RX1M9695
304,34,7,2KLO 77,DARGS36Y3PKJL8513
305,252,2,02-VO99,ANUT2JYF887SD6826
306,296,11,4D S2268,TNDTHLP70SESY5888
307,28,3,7-47226,J1MWB7RT7E9Z66630
308,77,10,60S 593,AX6P2RZC9BXCL2753
309,156,2,039 7JC,WFVFBWZ88W5139523
310,128,2,6V876,5TG82VX45SZVU4605
311,286,7,91D-DEIY,APTM0FXD3WYFG4151
312,116,9,5JWO 74,H390J2EP0AKXV9544
313,195,8,222J9,JRGE2DK07ZSXA9045
314,227,5,9UE 858,PRYAXBXR2KDE00153
315,220,5,135TY,YW1ECP3S7H64V1581
316,292,10,833-423,EWB3HH6C64DEF1284
317,31,10,7YS 718,4L5CX8V6XDYK17318
318,51,4,7ND 399,W1GTHYBM1KGFM8784
319,109,5,847VR,8BY1LZXY1K7VM2216
320,42,3,V31 3RF,DKZKLX7K3LACS9392
321,123,3,58F-FTVF,XTHEGXKP0LVKU2455
322,283,2,660-606,N9WH2CDG9URLC4505
323,81,1,7T Q4113,ALXX3RYF9474M4996
324,210,8,741RL,X95LT00K6VFLG9381
325,241,5,QJW-021,LPVDBLWE3GG297553
326,17,4,U67 0NN,4ZP2U3ZL3M5568749
327,148,12,YDR-281,WC5UHWV04MWU25129
328,145,12,SJ6 A0T,1ELU0GEL6N0C08739
329,233,2,2J 10890,9N5LLEDCXEDN24264
330,120,5,ODM0736,4VVSCDR808AD81289
331,102,7,XTL-563,D6ZPXGZ86TS7N7006
332,59,9,64J C31,RX2HL30F309X32902
333,116,11,4TZG596,ATBB0BP85KSPG2073
334,77,5,K05-07A,30T3RAA71T58X0531
335,73,2,687 2904,XXG9LP7X1EZ907932
336,31,3,1V CX649,7FEGBKMW3H9LU9889
337,158,10,060 VES,CB103FAS1XNCS5097
338,292,5,94-GO87,8HZMMBGM1MG5P7871
339,225,2,UAR 213,W88J9NKV7BSZC6818
340,240,12,VH 0358,04PEAPA76UCH42932
341,156,12,JM7 Q7N,L9K15GKD7T90X9910
342,207,5,HYZ 362,TSCFN5EH30DV02619
343,257,9,501I8,K7XEVK8W53RG82154
344,253,8,ONS-2743,76PFYUT44ZMTG1444
345,42,10,173 CA9,YEUH7YRR8778F0919
346,21,7,96S V60,NVW3SU2D57JT29205
347,166,10,OIL 553,HV4LWGAD4NBY68856
348,129,1,8LT3541,6SLYBRCG4PAAL7557
349,47,4,488 DGS,JBS5C66S6NS9R4258
350,295,10,XZJ T91,LEV3F0H29EVD07333
351,11,11,09JH776,CTBSRGPG6LN596553
352,138,10,8921 WH,ZXL7ENEWXVYU54907
353,21,3,ZAR 780,NX05N5HG89SDV0976
354,241,9,453 RWV,ZT0L14N83TACF1918
355,227,5,22Y 071,M67SRTRX8KNBU2521
356,93,10,PC 24633,N6MV7G243A1118051
357,224,11,0995 MJ,5BCYBDN7XBVBZ2959
358,252,2,OAT 081,KJ7NBA7Y7MWRV3929
359,241,6,535 VRC,0FYCS3N496LSC7918
360,210,6,346KEO,SUR6Y2Y71RKYJ5879
361,165,11,08-03149,BL424KRC5ZBZP5806
362,54,3,0W317,BEL5DYD16J1FM0631
363,169,7,KMH 560,00FGUKDH4RHCY6066
364,254,5,TA 60723,588AY5BL5JJG72464
365,206,9,6-3187D,C93XX78EX5FUP0621
366,19,8,27-X908,CDL310MG94SR02573
367,46,6,QCH 235,V2V5FJA035T2A8501
368,130,6,0KL 213,1R14R8E30XRJR9810
369,60,7,79-XH45,WX0WPE0J8P2UK2642
370,264,1,BO 6836,9NDSTTWV2MLS97675
371,278,8,3QG 339,CPWTPKDS8VKT42718
372,212,1,G 582686,BV2DRBH08TLWF6932
373,97,9,EYP-5998,3756214M60DK51553
374,186,10,97T K75,BJK7A0AT9AXHF1896
375,256,11,102 VEO,RXRXA2PV92YNM9927
376,227,1,294-LCF,S08CLJ6NXTAPG9709
377,105,5,MQI 807,LA4FKGVU26M395047
378,282,3,A90-46X,CXRR3HRMXM9NG5866
379,148,8,GPJ-4171,LZ8297F54F6512512
380,249,2,5AX 912,WM7849C65UED42110
381,15,11,837-CMK,CYBXJ4VB2CG0C8012
382,123,12,DWY-1325,EASJTZJD41GJA6453
383,82,5,509-BCP,U6V16LP5XNXPY9457
384,283,1,833 YPK,A3NTWWLS50RT27772
385,283,7,ZKM2650,UB0BD72S7C2YS7245
386,48,4,HJR 433,YYUUAY4N2J0FY1157
387,59,8,0N P4254,U89JMP9P0VPTF9710
388,61,11,3K 57485,MC9LEFFY7Z7R09705
389,79,8,K87-79C,H5VRCH0P41LNX0733
390,150,9,EZI-575,CC8J4CZJ2KGD03660
391,140,7,AAU 615,W0VRAVL70WJA94743
392,248,8,0587 AD,P0LR2ULS0JL3Z2590
393,125,8,2XWW711,907AF6PN05YS45165
394,283,3,NUZ 6281,DVA8GEF47X33E8003
395,197,4,2-2855H,RS2ZJY2T13DEY8103
396,261,12,1LW9582,SD01JHPZ6GMCL6239
397,70,2,MD4 7079,ZSDB83R78DKPW3394
398,142,7,943UUH,Z2K1DBMD0SAYX7657
399,175,9,TJZ-319,71241H1K774PD7692
400,137,1,G51 4NX,T2K38K0G5XB187310
